days,bottle.id,substrate.mass.vs,isr.mean,cvCH4,vol.mi.mn,vol.mi.se,n,rsd.inoc,cvCH4.tot,cvCH4.inoc,fv.inoc,se.inoc,cvCH4.se,rrvCH4
5,sample 1.1,2.889,3.06096780801021,396.825169835856,28.3682942052772,1.11710791843493,3,6.82059928688583,483.731394946348,86.9062251104925,0.179658020997648,3.42225836808192,0,2.731
6,sample 1.1,2.889,3.06096780801021,403.765523974821,31.6844337056356,1.2756295256178,3,6.97331431115975,500.830737279335,97.0652133045142,0.19380841885185,3.90788906476824,0,1.719
7,sample 1.1,2.889,3.06096780801021,412.366548042524,34.6505710621336,1.40587977254852,3,7.0274605028038,518.518518518519,106.151970475994,0.20472165734656,4.30691049335849,0,2.086
8,sample 1.1,2.889,3.06096780801021,420.627950631478,37.4112008834876,1.48062801539635,3,6.85496025044274,535.237106265144,114.609155633666,0.214127821655345,4.53590161889257,0,1.964
9,sample 1.1,2.889,3.06096780801021,423.854026858507,39.5557101698676,1.54782800825087,3,6.77757203740181,545.03288335064,121.178856492134,0.222333110888971,4.7417686923295,0,0.7611
10,sample 1.1,2.889,3.06096780801021,426.588034114347,41.6800608425374,1.61168809388208,3,6.69750861234024,554.274835583247,127.6868014689,0.230367307464968,4.93740396519015,0,0.6409
11,sample 1.1,2.889,3.06096780801021,428.514489683862,43.7403488550718,1.67374891153678,3,6.62778928330077,562.51298026999,133.998490586128,0.238214041784089,5.12752718340741,0,0.4496
12,sample 1.1,2.889,3.06096780801021,430.343892478918,45.6289376828545,1.70431032812791,3,6.46947360620045,570.128071997231,139.784179518313,0.245180313659405,5.22115203553087,0,0.4251
13,sample 1.1,2.889,3.06096780801021,432.503271470779,47.2516301968612,1.7453929438619,3,6.39789409454458,577.258566978193,144.755295507414,0.250763355951861,5.34700856484034,0,0.4993
0,sample 1.2,2.84,3.06096780801021,0,0,0,3,NA,0,0,NA,0,0,NA
1,sample 1.2,2.84,3.06096780801021,169.962280289139,7.64256939185496,0.252868654924636,3,5.73081297027998,193.943661971831,23.9813816826923,0.123651278102481,0.793468716921244,0,100
2,sample 1.2,2.84,3.06096780801021,319.041548106153,14.8034890659318,0.482446860420485,3,5.64476705781101,365.492957746479,46.451409640326,0.127092488803975,1.51385505425579,0,46.73
3,sample 1.2,2.84,3.06096780801021,365.705510779256,20.0522231813051,0.702849954889227,3,6.07100679539915,428.62676056338,62.9212497841243,0.146797296793652,2.2054510949976,0,12.76
4,sample 1.2,2.84,3.06096780801021,385.640379908596,24.5166519957687,0.93805668469444,3,6.6271766575257,462.570422535211,76.9300426266156,0.16630990413305,2.94349900435752,0,5.169
5,sample 1.2,2.84,3.06096780801021,396.512177644912,28.3682942052772,1.11710791843493,3,6.82059928688583,485.528169014085,89.0159913691723,0.183338469423779,3.50533832264541,0,2.742
6,sample 1.2,2.84,3.06096780801021,405.437552175849,31.6844337056356,1.2756295256178,3,6.97331431115975,504.859154929577,99.4216027537287,0.196929384726314,4.00275836188741,0,2.201
7,sample 1.2,2.84,3.06096780801021,417.327384771967,34.6505710621336,1.40587977254852,3,7.0274605028038,526.056338028169,108.728953256202,0.206686899094789,4.41146657580816,0,2.849
8,sample 1.2,2.84,3.06096780801021,421.481791404633,37.4112008834876,1.48062801539635,3,6.85496025044274,538.87323943662,117.391448031987,0.217846126771329,4.64601677089766,0,0.9857
9,sample 1.2,2.84,3.06096780801021,425.03429230533,39.5557101698676,1.54782800825087,3,6.77757203740181,549.154929577465,124.120637272135,0.226021165589166,4.85688154622255,0,0.8358
10,sample 1.2,2.84,3.06096780801021,428.262724351693,41.6800608425374,1.61168809388208,3,6.69750861234024,559.049295774648,130.786571422955,0.233944613491965,5.05726613016149,0,0.7538
11,sample 1.2,2.84,3.06096780801021,430.882317479325,43.7403488550718,1.67374891153678,3,6.62778928330077,568.133802816901,137.251485337576,0.24158302966143,5.25200484686895,0,0.608
12,sample 1.2,2.84,3.06096780801021,433.160398468392,45.6289376828545,1.70431032812791,3,6.46947360620045,576.338028169014,143.177629700622,0.248426483595898,5.34790256901677,0,0.5259
13,sample 1.2,2.84,3.06096780801021,435.35733430367,47.2516301968612,1.7453929438619,3,6.39789409454458,583.62676056338,148.26942625971,0.254048368372596,5.476814435946,0,0.5046
0,sample 1.3,2.961,3.06096780801021,0,0,0,3,NA,0,0,NA,0,0,NA
1,sample 1.3,2.961,3.06096780801021,162.218470329599,7.64256939185496,0.252868654924636,3,5.73081297027998,185.00506585613,22.7865955265303,0.123167413935845,0.753936989731005,0,100
2,sample 1.3,2.961,3.06096780801021,311.8236889502,14.8034890659318,0.482446860420485,3,5.64476705781101,355.96082404593,44.1371350957309,0.123994361497589,1.43843266678901,0,47.98
3,sample 1.3,2.961,3.06096780801021,354.465517266543,20.0522231813051,0.702849954889227,3,6.07100679539915,414.251941911516,59.7864246449729,0.144323824697346,2.09557242031317,0,12.03
4,sample 1.3,2.961,3.06096780801021,373.981409901891,24.5166519957687,0.93805668469444,3,6.6271766575257,447.078689631881,73.09727972999,0.163499807584605,2.79684974504394,0,5.218
5,sample 1.3,2.961,3.06096780801021,385.53035932297,28.3682942052772,1.11710791843493,3,6.82059928688583,470.111448834853,84.5810895118832,0.179917102043596,3.33069743848052,0,2.996
6,sample 1.3,2.961,3.06096780801021,397.932937099761,31.6844337056356,1.2756295256178,3,6.97331431115975,492.401215805471,94.4682787057097,0.191852245025793,3.80333531193459,0,3.117
7,sample 1.3,2.961,3.06096780801021,404.32063264984,34.6505710621336,1.40587977254852,3,7.0274605028038,507.632556568727,103.311923918887,0.203517135735363,4.19168110794451,0,1.58
8,sample 1.3,2.961,3.06096780801021,408.517949249133,37.4112008834876,1.48062801539635,3,6.85496025044274,520.060790273556,111.542841024424,0.214480389813182,4.41454568250864,0,1.027
9,sample 1.3,2.961,3.06096780801021,411.647827202794,39.5557101698676,1.54782800825087,3,6.77757203740181,529.584599797366,117.936772594572,0.222696756362813,4.6149048782254,0,0.7603
10,sample 1.3,2.961,3.06096780801021,414.398767923716,41.6800608425374,1.61168809388208,3,6.69750861234024,538.669368456603,124.270600532886,0.230699215158543,4.80530602042748,0,0.6638
11,sample 1.3,2.961,3.06096780801021,416.631493911855,43.7403488550718,1.67374891153678,3,6.62778928330077,547.044917257683,130.413423345828,0.238396188743671,4.99034258044232,0,0.5359
12,sample 1.3,2.961,3.06096780801021,418.531837839987,45.6289376828545,1.70431032812791,3,6.46947360620045,554.576156703816,136.04431886383,0.245312239300773,5.08146254322891,0,0.4541
13,sample 1.3,2.961,3.06096780801021,420.211789965351,47.2516301968612,1.7453929438619,3,6.39789409454458,561.094224924012,140.882434958661,0.251085163062836,5.20395183968202,0,0.3998
0,sample 2.1,3.196,2.98161993276572,0,0,0,3,NA,0,0,NA,0,0,NA
1,sample 2.1,3.196,2.98161993276572,152.240208567519,7.64256939185496,0.252868654924636,3,5.73081297027998,174.280350438048,22.0401418705282,0.126463722474341,0.729239179049955,0,100
2,sample 2.1,3.196,2.98161993276572,320.512734248589,14.8034890659318,0.482446860420485,3,5.64476705781101,363.204005006258,42.6912707576683,0.117540748915841,1.39131183551839,0,52.5
3,sample 2.1,3.196,2.98161993276572,380.751560577897,20.0522231813051,0.702849954889227,3,6.07100679539915,438.579474342929,57.8279137650316,0.131852759073297,2.02692470623326,0,15.82
4,sample 2.1,3.196,2.98161993276572,405.517549536681,24.5166519957687,0.93805668469444,3,6.6271766575257,476.22027534418,70.7027258074995,0.148466433430203,2.70522926953035,0,6.107
5,sample 2.1,3.196,2.98161993276572,418.127078049687,28.3682942052772,1.11710791843493,3,6.82059928688583,499.937421777221,81.8103437275349,0.163641168202029,3.22158893751574,0,3.016
6,sample 2.1,3.196,2.98161993276572,428.901700297607,31.6844337056356,1.2756295256178,3,6.97331431115975,520.275344180225,91.3736438826183,0.175625550787135,3.67874392463016,0,2.512
7,sample 2.1,3.196,2.98161993276572,441.436620311361,34.6505710621336,1.40587977254852,3,7.0274605028038,541.364205256571,99.9275849452094,0.184584765625297,4.05436811249606,0,2.84
8,sample 2.1,3.196,2.98161993276572,446.992231450639,37.4112008834876,1.48062801539635,3,6.85496025044274,554.881101376721,107.888869926082,0.194436014595556,4.26993198800302,0,1.243
9,sample 2.1,3.196,2.98161993276572,451.539920404324,39.5557101698676,1.54782800825087,3,6.77757203740181,565.613266583229,114.073346178905,0.201680817828059,4.46372772609478,0,1.007
10,sample 2.1,3.196,2.98161993276572,455.582540082739,41.6800608425374,1.61168809388208,3,6.69750861234024,575.782227784731,120.199687701992,0.208758940275822,4.64789162111625,0,0.8874
11,sample 2.1,3.196,2.98161993276572,458.714788955167,43.7403488550718,1.67374891153678,3,6.62778928330077,584.85607008761,126.141281132443,0.215679186015026,4.82686666937272,0,0.6828
12,sample 2.1,3.196,2.98161993276572,461.215787165452,45.6289376828545,1.70431032812791,3,6.46947360620045,592.803504380475,131.587717215023,0.221975268773997,4.91500168299139,0,0.5423
13,sample 2.1,3.196,2.98161993276572,463.951679676515,47.2516301968612,1.7453929438619,3,6.39789409454458,600.219023779725,136.267344103209,0.227029365455798,5.0334784193825,0,0.5897
0,sample 2.2,3.074,2.98161993276572,0,0,0,3,NA,0,0,NA,0,0,NA
1,sample 2.2,3.074,2.98161993276572,169.717197906187,7.64256939185496,0.252868654924636,3,5.73081297027998,193.201040988939,23.4838430827525,0.121551327894226,0.777006724875222,0,100
2,sample 2.2,3.074,2.98161993276572,330.309318857615,14.8034890659318,0.482446860420485,3,5.64476705781101,375.797007156799,45.4876882991841,0.121043242582836,1.48244730076718,0,48.62
3,sample 2.2,3.074,2.98161993276572,379.958664954717,20.0522231813051,0.702849954889227,3,6.07100679539915,441.574495770982,61.615830816265,0.139536661212022,2.15969488859716,0,13.07
4,sample 2.2,3.074,2.98161993276572,403.846236150533,24.5166519957687,0.93805668469444,3,6.6271766575257,479.18022121015,75.3339850596162,0.157214304190944,2.88243061418176,0,5.915
5,sample 2.2,3.074,2.98161993276572,418.849029107498,28.3682942052772,1.11710791843493,3,6.82059928688583,506.018217306441,87.1691881989429,0.172264920940887,3.43261352536556,0,3.582
6,sample 2.2,3.074,2.98161993276572,432.732170811792,31.6844337056356,1.2756295256178,3,6.97331431115975,530.091086532206,97.3589157204136,0.18366450256186,3.91971365588915,0,3.208
7,sample 2.2,3.074,2.98161993276572,442.290657799182,34.6505710621336,1.40587977254852,3,7.0274605028038,548.763825634353,106.47316783517,0.194023663480535,4.31994245376838,0,2.161
8,sample 2.2,3.074,2.98161993276572,447.828702452196,37.4112008834876,1.48062801539635,3,6.85496025044274,562.784645413142,114.955942960947,0.204262756451994,4.54962646653259,0,1.237
9,sample 2.2,3.074,2.98161993276572,452.33216121057,39.5557101698676,1.54782800825087,3,6.77757203740181,573.87768379961,121.545522589039,0.211796914255828,4.75611645784879,0,0.9956
10,sample 2.2,3.074,2.98161993276572,456.344537339074,41.6800608425374,1.61168809388208,3,6.69750861234024,584.417696811971,128.073159472897,0.219146614093897,4.95234368894369,0,0.8792
11,sample 2.2,3.074,2.98161993276572,459.252526988772,43.7403488550718,1.67374891153678,3,6.62778928330077,593.656473649967,134.403946661195,0.226400203866795,5.14304218687865,0,0.6332
12,sample 2.2,3.074,2.98161993276572,461.451934042738,45.6289376828545,1.70431032812791,3,6.46947360620045,601.659076122316,140.207142079578,0.233034201001689,5.23695033148477,0,0.4766
13,sample 2.2,3.074,2.98161993276572,463.687637090905,47.2516301968612,1.7453929438619,3,6.39789409454458,608.880936890046,145.193299799141,0.238459263547876,5.36318768071372,0,0.4822
0,sample 2.3,3.089,2.98161993276572,0,0,0,3,NA,0,0,NA,0,0,NA
1,sample 2.3,3.089,2.98161993276572,162.335468453186,7.64256939185496,0.252868654924636,3,5.73081297027998,185.173195208805,22.8377267556191,0.123331709699489,0.75562876175968,0,100
2,sample 2.3,3.089,2.98161993276572,320.477324350874,14.8034890659318,0.482446860420485,3,5.64476705781101,364.713499514406,44.2361751635321,0.121290205112862,1.44166039030431,0,49.35
3,sample 2.3,3.089,2.98161993276572,364.844715792725,20.0522231813051,0.702849954889227,3,6.07100679539915,424.765296212366,59.9205804196418,0.141067504699545,2.1002747108932,0,12.16
4,sample 2.3,3.089,2.98161993276572,385.819304652524,24.5166519957687,0.93805668469444,3,6.6271766575257,459.080608611201,73.2613039586773,0.159582658436185,2.8031256437351,0,5.436
5,sample 2.3,3.089,2.98161993276572,399.884345772628,28.3682942052772,1.11710791843493,3,6.82059928688583,484.6552282292,84.7708824565723,0.174909662619967,3.33817124708674,0,3.517
6,sample 2.3,3.089,2.98161993276572,414.02806216229,31.6844337056356,1.2756295256178,3,6.97331431115975,508.70831984461,94.6802576823194,0.186118948695867,3.81186968070021,0,3.416
7,sample 2.3,3.089,2.98161993276572,420.638836058973,34.6505710621336,1.40587977254852,3,7.0274605028038,524.182583360311,103.543747301338,0.197533742226923,4.20108689244392,0,1.572
8,sample 2.3,3.089,2.98161993276572,425.403369821189,37.4112008834876,1.48062801539635,3,6.85496025044274,537.196503722888,111.793133901699,0.208104731000572,4.42445155661576,0,1.12
9,sample 2.3,3.089,2.98161993276572,429.127819837813,39.5557101698676,1.54782800825087,3,6.77757203740181,547.329232761412,118.201412923598,0.215960350458979,4.62526034173803,0,0.8679
10,sample 2.3,3.089,2.98161993276572,432.232676693101,41.6800608425374,1.61168809388208,3,6.69750861234024,556.782130139204,124.549453446103,0.22369513442352,4.81608872830004,0,0.7183
